PDB,plddt,seq_count,1cdl_tmscore,1cll_tmscore
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_012_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.60543624161073,13,0.39737,0.55397
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_009_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,76.05208053691275,13,0.49758,0.41608
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_005_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.05859060402685,13,0.40471,0.5313
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_014_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.70718120805368,13,0.50662,0.4033
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_008_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,76.48389261744965,13,0.49179,0.41119
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_013_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.7379865771812,13,0.41247,0.51847
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_011_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.64946308724832,13,0.40249,0.4901
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_007_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.85463087248323,13,0.44464,0.47203
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_016_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,76.18557046979865,21,0.38317,0.52396
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,76.6506711409396,13,0.39902,0.55886
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_010_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,76.11791946308725,13,0.41152,0.52139
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_02/group_004_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.91308724832214,13,0.47656,0.41678
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_003_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,77.34610738255033,13,0.37195,0.54178
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_002_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.09563758389261,13,0.35532,0.48696
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_006_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.47671140939597,13,0.40448,0.54913
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_015_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.13241610738255,13,0.39729,0.55371
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_012_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.276644295302,13,0.42829,0.42815
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_009_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.57261744966442,13,0.49541,0.44315
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_005_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.45241610738255,13,0.41046,0.53232
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_014_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,78.60677852348994,13,0.40308,0.54556
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_008_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.91382550335571,13,0.36401,0.5075
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_013_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,77.0875167785235,13,0.4676,0.41314
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_011_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.47328859060403,13,0.45992,0.46124
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_007_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.79375838926175,13,0.41313,0.50038
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_016_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.79140939597315,21,0.41018,0.44922
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_001_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,71.23268456375838,13,0.40338,0.50431
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_010_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,69.58328859060403,13,0.45836,0.41511
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_03/group_004_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.87550335570471,13,0.41455,0.44451
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_04/group_003_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.37959731543624,13,0.40474,0.52918
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_04/group_002_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.43677852348993,13,0.44827,0.40474
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_04/group_006_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,72.22382550335571,13,0.39374,0.43495
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_04/group_015_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,76.73342281879194,13,0.37716,0.53571
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_04/group_012_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.04355704697987,13,0.49992,0.42272
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_04/group_009_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.79590604026846,13,0.41199,0.53661
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_04/group_005_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,73.13120805369127,13,0.40887,0.54235
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_04/group_014_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,76.95953020134228,13,0.37103,0.48247
results_updated/CALM_BOVIN/run1/divide_and_conquer/clades/clade_002/shuffle_04/group_008_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.4568456375839,13,0.43733,0.41374
