PDB,plddt,inactive_rmsd_global,active_rmsd_global,seq_count,round
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_34_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,70.20906329113923,3.7720668,3.7491257,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_93_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,77.82010126582279,3.4835558,2.893746,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_110_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,70.19731645569621,4.295971,2.2781415,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_66_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,78.89503797468355,4.4684052,2.1249318,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_57_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,70.5587088607595,3.3876333,3.499787,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_97_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,74.55683544303798,3.3405464,3.3830888,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.94881012658227,3.3239832,3.376947,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_104_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.53369620253164,3.7263205,2.4315114,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_47_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.00455696202532,3.8593295,3.0940127,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_92_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,79.85258227848101,4.4649253,2.140332,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_90_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,77.2425569620253,4.4141173,2.0103157,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_35_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,80.43830379746835,4.3655295,2.0993462,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_99_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,77.93288607594936,4.443883,2.4834807,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_24_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.15088607594936,4.6061625,2.113351,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_40_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,72.67394936708861,3.1218483,3.7106774,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.99354430379746,4.698722,1.8295934,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_69_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.47708860759494,3.4923089,3.3465555,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_75_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,66.60794936708861,3.4987504,2.977476,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_83_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,72.09762025316455,3.7644048,2.9033022,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_30_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,79.9500253164557,4.4555607,1.9168309,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_26_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.5532911392405,4.0715094,2.3583767,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_39_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,71.47189873417722,4.002702,2.9675372,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_59_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.42696202531646,3.9065413,2.507432,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_62_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.50837974683543,4.2388377,2.6859329,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_67_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.35501265822785,4.1941695,2.4310668,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_87_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.09977215189873,3.8174245,2.5768785,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_70_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,70.5946835443038,4.2316165,2.5935788,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_11_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.70243037974683,4.4931846,2.0659738,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_49_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,75.61073417721518,4.0415387,2.2933161,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_80_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,69.58174683544304,4.101029,2.6304781,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_60_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,77.61721518987342,3.67053,3.3928187,17,1
/fs/ess/PAA0203/xing244/AF_ClaSeq/results_NC_revision/GLP1R/01_m_fold_sampling/round_1/01_sampling/sampling_42/group_89_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_042.pdb,76.8907341772152,4.2271805,1.9286515,17,1
